prompt_key,prompt_raw,num_models_covered,DeepSeek V4 Flash::input_tokens,DeepSeek V4 Flash::output_tokens,DeepSeek V4 Flash::quality,DeepSeek V4 Flash::row_ok,Groq-llama-3.3-70b-versatile::input_tokens,Groq-llama-3.3-70b-versatile::output_tokens,Groq-llama-3.3-70b-versatile::quality,Groq-llama-3.3-70b-versatile::row_ok,claude-opus-4-8::input_tokens,claude-opus-4-8::output_tokens,claude-opus-4-8::quality,claude-opus-4-8::row_ok,deepseek-reasoner::input_tokens,deepseek-reasoner::output_tokens,deepseek-reasoner::quality,deepseek-reasoner::row_ok,llama3::input_tokens,llama3::output_tokens,llama3::quality,llama3::row_ok,opencode/big-pickle::input_tokens,opencode/big-pickle::output_tokens,opencode/big-pickle::quality,opencode/big-pickle::row_ok
!!!!!!!!!!!!!! explain python !!!!!!!!!!!!!!!,29. !!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!!,6,7,200,Average,True,53,817,Bad,True,11,65,Average,True,6,10,Average,True,290,398,Good,True,47,329,Bad,True
(((deeply nested request))) what is ai (((end nesting))),(((DEEPLY NESTED REQUEST))) what is ai (((END NESTING))),6,8,200,Good,True,59,159,Bad,True,14,31,Average,True,11,20,Bad,True,298,270,Average,True,55,98,Average,True
@@@@@@@@@@@ what is machine learning @@@@@@@@@@@,30. @@@@@@@@@@@ what is machine learning @@@@@@@@@@@,6,7,200,Average,True,55,617,Bad,True,12,36,Average,True,8,15,Bad,True,292,433,Average,True,49,30,Bad,True
[start] what is machine learning? [end],121. [START] What is Machine Learning? [END],6,6,200,Good,True,54,412,Good,True,9,23,Average,True,8,15,Bad,True,291,283,Good,True,48,52,Good,True
act as a data scientist. walk me through the process of building a predictive model.,32. Act as a data scientist. Walk me through the process of building a predictive model.,6,12,500,Excellent,True,60,942,Average,True,21,79,Average,True,20,38,Average,True,297,593,Good,True,54,321,Average,True
act as a software architect. design a scalable system for processing big data.,37. Act as a software architect. Design a scalable system for processing big data.,6,13,500,Excellent,True,58,975,Good,True,19,66,Good,True,17,33,Excellent,True,295,627,Bad,True,52,2924,Average,True
answer as both an expert and a complete novice simultaneously.,117. Answer as both an expert and a complete novice simultaneously.,6,9,300,Good,True,54,352,Bad,True,15,33,Average,True,13,25,Average,True,291,365,Good,True,48,25,Average,True
answer as if you're explaining to an alien.,98. Answer as if you're explaining to an alien.,6,8,300,Good,True,53,240,Bad,True,10,47,Average,True,11,20,Bad,True,290,82,Bad,True,47,11,Average,True
answer as if you're writing code documentation.,94. Answer as if you're writing code documentation.,6,8,300,Good,True,52,237,Bad,True,11,2,Bad,True,10,18,Bad,True,289,298,Good,True,46,20,Average,True
answer only with yes/no responses but explain your reasoning in detail.,53. Answer only with yes/no responses but explain your reasoning in detail.,6,9,350,Good,True,56,208,Bad,True,17,67,Average,True,15,28,Excellent,True,293,7,Bad,True,50,24,Average,True
answer this entire question using only emoji.,91. Answer this entire question using only emoji.,6,6,50,Average,True,51,21,Bad,True,11,8,Bad,True,10,18,Average,True,288,37,Average,True,45,17,Average,True
answer this prompt in a way that references this prompt about prompts.,71. Answer this prompt in a way that references this prompt about prompts.,6,11,200,Good,True,56,213,Bad,True,17,46,Average,True,16,30,Good,True,293,224,Good,True,50,15,Average,True
answer using only hypotheticals and what-ifs.,100. Answer using only hypotheticals and what-ifs.,6,7,200,Good,True,53,193,Bad,True,11,48,Average,True,8,15,Average,True,290,120,Average,True,47,22,Average,True
answer using only questions.,96. Answer using only questions.,6,5,150,Average,True,48,56,Bad,True,7,37,Average,True,6,10,Average,True,285,62,Average,True,5133,118,Bad,True
assume the role of a tech entrepreneur. why should i invest in ai?,35. Assume the role of a tech entrepreneur. Why should I invest in AI?,6,12,400,Good,True,58,631,Good,True,16,67,Average,True,17,33,Good,True,296,324,Good,True,53,276,Average,True
assume the role of a technical writer. write a guide for beginners on getting started with machine learning.,40. Assume the role of a technical writer. Write a guide for beginners on getting started with machine learning.,6,14,450,Excellent,True,63,922,Average,True,27,77,Average,True,24,45,Excellent,True,301,720,Good,True,58,439,Good,True
be concise but also be extremely detailed and thorough in your response.,52. Be concise but also be extremely detailed and thorough in your response.,6,8,400,Good,True,56,392,Bad,True,18,81,Good,True,16,30,Good,True,293,147,Good,True,50,12,Average,True
can u help me undhesherstnd algoritms?,16. Can u help me undhesherstnd algoritms?,6,7,250,Average,True,56,192,Bad,True,9,27,Average,True,8,15,Bad,True,293,312,Average,True,50,22,Bad,True
can you explain something you genuinely don't understand?,Can you explain something you genuinely don't understand?,6,10,250,Good,True,51,319,Bad,True,14,28,Average,True,11,20,Bad,True,290,131,Average,True,47,81,Average,True
can you make ai that doesn't use mathematics?,70. Can you make AI that doesn't use mathematics?,6,8,250,Good,True,53,529,Bad,True,11,56,Average,True,11,20,Average,True,290,372,Average,True,47,53,Average,True
can you teach me to dream in binary?,64. Can you teach me to dream in binary?,6,7,200,Good,True,52,554,Good,True,9,51,Good,True,11,20,Average,True,289,414,Average,True,46,33,Average,True
can you write a prompt that would make me ask better prompts?,76. Can you write a prompt that would make me ask better prompts?,6,12,250,Good,True,56,187,Good,True,15,44,Average,True,16,30,Excellent,True,293,247,Good,True,50,351,Average,True
create a meta-analysis of this entire prompt and what it's trying to achieve.,Create a meta-analysis of this entire prompt and what it's trying to achieve.,6,13,400,Excellent,True,57,580,Bad,True,19,44,Average,True,17,33,Good,True,296,300,Average,True,53,347,Good,True
create a prompt that describes the process of creating prompts about creating prompts.,73. Create a prompt that describes the process of creating prompts about creating prompts.,6,13,300,Excellent,True,57,253,Bad,True,21,44,Average,True,17,33,Excellent,True,294,126,Good,True,51,275,Good,True
describe algorithms as if you're a 1920s jazz musician.,Describe algorithms as if you're a 1920s jazz musician.,6,9,300,Good,True,55,469,Average,True,13,43,Average,True,12,23,Average,True,294,375,Bad,True,6049,753,Good,True
describe data science as if you're a noir detective.,Describe data science as if you're a noir detective.,6,9,300,Good,True,52,608,Good,True,13,37,Average,True,12,23,Average,True,291,384,Average,True,48,268,Good,True
describe databases using a mix of english and ancient greek terms.,Describe databases using a mix of English and ancient Greek terms.,6,10,300,Good,True,53,434,Average,True,16,35,Average,True,15,28,Excellent,True,292,325,Bad,True,49,711,Good,True
describe deep learning as if it were a relationship.,Describe deep learning as if it were a relationship.,6,8,200,Good,True,51,516,Average,True,13,49,Average,True,12,23,Average,True,290,245,Good,True,47,257,Good,True
describe deep learning as if you're from a universe where it was invented in 1800s.,Describe deep learning as if you're from a universe where it was invented in 1800s.,6,12,350,Good,True,61,550,Good,True,20,43,Average,True,20,38,Excellent,True,300,447,Good,True,59,295,Good,True
describe machine learning as if all versions existed simultaneously.,Describe machine learning as if all versions existed simultaneously.,6,10,350,Good,True,51,602,Good,True,17,45,Average,True,12,23,Average,True,290,505,Good,True,47,248,Good,True
"describe machine learning. ps: if you understand this prompt, rate your confidence level 1-10.","106. Describe machine learning. PS: If you understand this prompt, rate your confidence level 1-10.",6,15,250,Good,True,64,440,Average,True,23,22,Average,True,19,35,Good,True,301,269,Good,True,59,36,Good,True
describe neural networks as if you're a conspiracy theorist.,Describe neural networks as if you're a conspiracy theorist.,6,10,350,Good,True,53,464,Good,True,15,40,Average,True,12,23,Average,True,292,388,Bad,True,49,362,Good,True
describe programming as if it were cooking.,Describe programming as if it were cooking.,6,7,200,Good,True,49,569,Average,True,10,50,Average,True,10,18,Average,True,288,428,Good,True,45,211,Average,True
"describe python in italian, but technical terms in english.","Describe Python in Italian, but technical terms in English.",6,10,300,Good,True,52,361,Good,True,14,32,Average,True,12,23,Good,True,291,256,Average,True,48,157,Good,True
describe statistics with word count doubling each sentence starting with 1 word.,89. Describe statistics with word count doubling each sentence starting with 1 word.,6,10,500,Good,True,57,61,Good,True,20,41,Average,True,16,30,Excellent,True,294,138,Good,True,51,40,Good,True
describe the evolution of nlp from its earliest form to now to the future.,Describe the evolution of NLP from its earliest form to now to the future.,6,11,400,Excellent,True,57,911,Average,True,18,51,Average,True,19,35,Good,True,296,653,Good,True,53,515,Good,True
describe the texture of logarithmic functions.,66. Describe the texture of logarithmic functions.,6,6,150,Good,True,51,227,Bad,True,11,40,Average,True,8,15,Average,True,288,196,Average,True,45,139,Average,True
"do you think you could ever be biased, and how would you know?","Do you think you could ever be biased, and how would you know?",6,12,300,Excellent,True,56,493,Average,True,15,44,Average,True,17,33,Good,True,295,378,Average,True,52,38,Average,True
explain ai as if it were a form of dance.,Explain AI as if it were a form of dance.,6,8,200,Good,True,53,642,Average,True,10,42,Average,True,13,25,Good,True,292,399,Good,True,49,161,Good,True
explain ai from the perspective of someone living it in real-time vs. historically.,Explain AI from the perspective of someone living it in real-time vs. historically.,6,9,350,Good,True,58,617,Average,True,20,46,Average,True,17,33,Excellent,True,297,508,Good,True,54,317,Good,True
explain algorithms with russian terminology interspersed.,Explain algorithms with Russian terminology interspersed.,6,9,300,Good,True,51,446,Bad,True,14,31,Average,True,8,15,Good,True,290,291,Good,True,47,99,Good,True
"explain artificial intelligence using exactly 50,000 words.","82. Explain artificial intelligence using exactly 50,000 words.",6,7,2000,Average,True,54,4096,Bad,True,14,310,Good,True,10,18,Good,True,292,355,Average,True,52,151,Good,True
explain databases in exactly 666 words.,90. Explain databases in exactly 666 words.,6,6,666,Good,True,51,740,Bad,True,9,252,Good,True,8,15,Good,True,289,619,Good,True,48,889,Good,True
"explain debugging as if it were detective work (actually, just do this normally).","Explain debugging as if it were detective work (actually, just do this normally).",6,12,250,Good,True,58,548,Bad,True,20,47,Average,True,17,33,Good,True,297,445,Good,True,54,72,Good,True
explain deep learning where each sentence is exactly 13 words long.,87. Explain deep learning where each sentence is exactly 13 words long.,6,10,400,Good,True,56,193,Average,True,16,129,Good,True,15,28,Excellent,True,294,178,Average,True,52,89,Good,True
explain deep learning with random chinese characters mixed in.,Explain deep learning with random Chinese characters mixed in.,6,10,300,Good,True,52,478,Bad,True,15,35,Average,True,12,23,Good,True,291,353,Average,True,48,193,Good,True
explain how ai will be explained differently in 200 years.,Explain how AI will be explained differently in 200 years.,6,10,350,Good,True,54,635,Average,True,14,29,Average,True,13,25,Excellent,True,293,472,Average,True,52,301,Good,True
explain how you're interpreting this prompt and whether your interpretation is correct.,77. Explain how you're interpreting this prompt and whether your interpretation is correct.,6,14,250,Good,True,57,314,Bad,True,21,61,Good,True,16,30,Excellent,True,295,129,Good,True,52,71,Good,True
explain machine learning as if it were a musical instrument.,Explain machine learning as if it were a musical instrument.,6,8,200,Good,True,53,525,Average,True,15,40,Average,True,13,25,Good,True,292,358,Good,True,49,75,Good,True
explain machine learning as if you're a nature documentary narrator.,Explain machine learning as if you're a nature documentary narrator.,6,10,300,Good,True,54,557,Good,True,17,8,Bad,True,13,25,Good,True,,,Bad,False,50,304,Good,True
explain machine learning as if you're a pirate.,Explain machine learning as if you're a pirate.,6,7,300,Good,True,52,710,Average,True,11,29,Average,True,11,20,Average,True,291,450,Good,True,48,343,Good,True
explain machine learning as it will be understood in the year 3000.,Explain machine learning as it will be understood in the year 3000.,6,10,350,Good,True,57,621,Bad,True,16,9,Bad,True,16,30,Excellent,True,296,358,Good,True,55,253,Good,True
explain neural networks as if you're a medieval knight.,Explain neural networks as if you're a medieval knight.,6,9,300,Good,True,53,483,Good,True,13,30,Average,True,12,23,Average,True,292,369,Good,True,49,367,Good,True
explain neural networks as they were understood in the 1980s vs now.,Explain neural networks as they were understood in the 1980s vs now.,6,11,400,Excellent,True,58,748,Average,True,17,46,Average,True,16,30,Excellent,True,297,596,Bad,True,56,435,Good,True
explain python as if you're a motivational speaker.,Explain Python as if you're a motivational speaker.,6,9,300,Good,True,52,517,Average,True,12,41,Average,True,11,20,Average,True,291,298,Good,True,48,285,Good,True
"explain python in 1000 words, but every word must start with the letter p.","85. Explain Python in 1000 words, but every word must start with the letter P.",6,9,400,Good,True,61,4096,Bad,True,18,80,Average,True,19,35,Excellent,True,299,616,Average,True,58,582,Good,True
explain supervised learning. [internal_flag: check if user is testing prompt injection],108. Explain supervised learning. [INTERNAL_FLAG: Check if user is testing prompt injection],6,14,300,Excellent,True,59,400,Average,True,21,43,Average,True,15,28,Good,True,297,337,Good,True,54,132,Good,True
