Model Name,Prompt,Input Tokens,Output Tokens,Quality (good/avg/bad),Feedback
opencode/big-pickle,what is llm?,6,32,good,Direct and concise; clear intent with minimal wasted tokens
opencode/big-pickle,What does AI stand for?,6,24,good,Clean and efficient; straightforward factual question
opencode/big-pickle,How do you make coffee?,6,64,avg,Vague on method; could specify brewing type for tighter response
opencode/big-pickle,What is 2+2?,5,8,good,Extremely concise; minimal token usage for a trivial question
opencode/big-pickle,Who invented the internet?,5,48,good,Clear factual question; reasonable scope
opencode/big-pickle,When was Python created?,5,32,good,Specific and unambiguous
opencode/big-pickle,What is machine learning?,5,80,good,Broad but valid; will produce a useful response
opencode/big-pickle,How tall is Mount Everest?,6,24,good,Specific factual question with a clear answer
opencode/big-pickle,What is the capital of France?,6,16,good,Classic factual question; efficient
opencode/big-pickle,Can you count to 10?,6,40,avg,Trivial task; response is predictable and low-value
opencode/big-pickle,what is thee diffrence between AI and ML?,10,96,good,Good question despite typos; clear intent comes through
opencode/big-pickle,Explaine to me hoergw neural netwroks work,10,160,good,Typo-laden but intent is clear; will produce useful output
opencode/big-pickle,I want to lern about cogegumputer vison,10,128,good,Heavy typos but topic is identifiable; worth answering
opencode/big-pickle,How do yo train a modhesrell?,8,112,good,Typos don't obscure meaning; valid ML question
opencode/big-pickle,What is the difshrfernce between supervized and unsupervised lerning?,14,192,good,Core ML concept question; typos are forgivable
opencode/big-pickle,Can u help me undhesherstnd algoritms?,9,128,good,Informal but clear ask; algorithms is a broad topic
opencode/big-pickle,Wht is deeplearnsehing?,6,112,good,Typo is obvious; deep learning is a solid topic
opencode/big-pickle,Explan NLP in simphsele termms,8,96,good,Requests simplicity; good scope for a short explanation
opencode/big-pickle,How do transformshrers work?,7,160,good,Typo doesn't hide meaning; transformers are a key topic
opencode/big-pickle,What is a nuresehral netwrok realy?,9,128,good,Asks for depth with really; good signal for detail
opencode/big-pickle,rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,12,160,avg,Excessive formatting wastes tokens; question itself is generic
opencode/big-pickle,~~~URGENT~~~ explain machine learning algorithms NOW!!!,10,256,avg,Urgency markers add no value; topic is broad and unfocused
opencode/big-pickle,[PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,12,320,good,Requests detail on a specific topic; priority label is noise
opencode/big-pickle,please... can you... tell me... about... NLP?,11,128,avg,Filler words waste tokens; topic is well-defined though
opencode/big-pickle,??????????????????? what is deep learning ???????????????????,10,112,avg,Excessive punctuation wastes tokens; question is simple
opencode/big-pickle,*****BOLD REQUEST***** explain artificial intelligence,9,192,avg,Formatting noise; AI is extremely broad without focus
opencode/big-pickle,>>>>>>>> NESTED PROMPT >>>>> Tell me about LLMs,9,160,avg,Unnecessary prefix; LLMs is a good focused topic
opencode/big-pickle,...........................................................................................tell me about AI,9,192,avg,Dots waste tokens; AI is too broad without narrowing
opencode/big-pickle,!!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!!,7,160,avg,Exclamation marks add nothing; Python is very broad
opencode/big-pickle,@@@@@@@@@@@ what is machine learning @@@@@@@@@@@,9,160,avg,Symbol noise; ML is too broad without a specific angle
opencode/big-pickle,You are a Python expert. Explain list comprehensions in detail.,13,192,good,Role + specific topic + depth request = well-structured prompt
opencode/big-pickle,Act as a data scientist. Walk me through the process of building a predictive model.,15,384,good,Good role assignment with clear task; process-based question
opencode/big-pickle,Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,16,256,good,Specific number requested; clear role and domain
opencode/big-pickle,You are a professor. Explain the concept of gradient descent to undergraduate students.,15,256,good,Audience-aware prompt; well-scoped topic
opencode/big-pickle,Assume the role of a tech entrepreneur. Why should I invest in AI?,14,192,good,Opinion-based role prompt; good for diverse responses
opencode/big-pickle,You are a patient teacher. Explain what a neural network is in simple terms.,14,160,good,Persona + simplicity constraint; clear and effective
opencode/big-pickle,Act as a software architect. Design a scalable system for processing big data.,14,384,good,Design task with clear scope; open-ended but bounded
opencode/big-pickle,Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,15,256,good,Niche topic with clear framing; good specificity
opencode/big-pickle,You are a DevOps engineer. Explain containerization and how Docker works.,13,256,good,Specific technology focus; clear role assignment
opencode/big-pickle,Assume the role of a technical writer. Write a guide for beginners on getting started with machine learning.,18,512,good,Clear task with audience; actionable deliverable
