prompt_raw,model,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt,input_tokens,output_tokens
COLLECTION OF 200 TEST PROMPTS FOR LLM TESTING,Groq-llama-3.3-70b-versatile,46,8,1,1,8,4.88,0,False,False,False,False,False,False,False,False,False,53,2767
1. what is llm?,Groq-llama-3.3-70b-versatile,15,4,1,2,4,2.5,0,False,False,False,False,False,False,False,False,False,48,332
2. What does AI stand for?,Groq-llama-3.3-70b-versatile,26,6,1,2,6,3.17,0,False,False,False,False,False,False,False,False,False,49,7
3. How do you make coffee?,Groq-llama-3.3-70b-versatile,26,6,1,2,6,3.17,0,False,False,False,False,False,True,False,False,False,49,493
4. What is 2+2?,Groq-llama-3.3-70b-versatile,15,5,1,2,4,1.8,0,False,False,False,True,False,False,False,False,False,50,12
5. Who invented the internet?,Groq-llama-3.3-70b-versatile,29,5,1,2,5,4.6,0,False,False,False,False,False,False,False,False,False,48,335
6. When was Python created?,Groq-llama-3.3-70b-versatile,27,5,1,2,5,4.2,0,False,False,False,False,False,False,False,False,False,48,98
7. What is machine learning?,Groq-llama-3.3-70b-versatile,28,5,1,2,5,4.4,0,False,False,False,False,False,False,False,False,False,48,404
8. How tall is Mount Everest?,Groq-llama-3.3-70b-versatile,29,6,1,2,6,3.67,0,False,False,False,False,False,True,False,False,False,49,56
9. What is the capital of France?,Groq-llama-3.3-70b-versatile,33,7,1,2,7,3.57,0,False,False,False,False,False,False,False,False,False,50,8
10. Can you count to 10?,Groq-llama-3.3-70b-versatile,24,6,1,2,5,2.83,0,False,False,False,False,False,False,False,False,False,50,59
11. what is thee diffrence between AI and ML?,Groq-llama-3.3-70b-versatile,45,9,1,2,9,3.89,0,False,False,False,False,False,False,False,False,False,53,510
12. Explaine to me hoergw neural netwroks work,Groq-llama-3.3-70b-versatile,46,8,1,2,8,4.75,0,False,False,False,False,False,False,False,False,False,56,766
13. I want to lern about cogegumputer vison,Groq-llama-3.3-70b-versatile,43,8,1,2,8,4.38,0,False,False,False,False,False,False,False,False,False,55,564
14. How do yo train a modhesrell?,Groq-llama-3.3-70b-versatile,33,7,1,2,7,3.57,0,False,False,False,False,False,True,False,False,False,52,446
15. What is the difshrfernce between supervized and unsupervised lerning?,Groq-llama-3.3-70b-versatile,73,10,1,2,10,6.2,0,False,False,False,False,False,False,False,False,False,61,363
16. Can u help me undhesherstnd algoritms?,Groq-llama-3.3-70b-versatile,42,7,1,2,7,4.86,0,False,False,False,False,False,False,False,False,False,56,192
